ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
002928.SZ,20260127,1.1421,0.8,23.8176,3.4696,1.9028,,1384335.5987,1384328.6945
688515.SH,20260127,6.5715,1.39,,6.8665,19.9098,,1030960.0,642022.6078
000875.SZ,20260127,3.4371,0.97,53.6712,1.4458,1.8914,0.8225,2513698.5438,2316286.5728
600521.SH,20260127,3.453,2.29,52.7479,2.6634,2.8351,1.509,2468968.7723,2468968.7723
300215.SZ,20260127,10.5615,0.54,,3.3345,12.3166,0.0573,653959.2253,436386.8557
001306.SZ,20260127,14.3917,1.64,142.236,4.207,7.2347,0.1793,563707.0314,139019.5
300884.SZ,20260127,4.7715,0.83,,3.075,5.884,,388917.8402,293239.9454
688488.SH,20260127,2.9578,0.81,,7.7356,11.2697,,756567.4888,756567.4888
600900.SH,20260127,0.5473,0.81,18.5694,2.864,7.3876,2.8268,63446088.5376,62250816.1123
301017.SZ,20260127,9.285,0.99,,3.5944,0.7196,,715084.1837,429478.1837
600073.SH,20260127,2.6264,0.65,2254.4676,1.2251,0.2735,1.0687,614212.8042,614212.8042
603916.SH,20260127,13.7464,1.28,52.3143,1.3827,1.5936,0.7424,582745.7749,574584.7849
688328.SH,20260127,4.4523,0.86,,3.8817,5.0865,,321718.1408,321718.1408
002579.SZ,20260127,8.2566,0.64,243.3925,3.2035,2.3781,,774962.5543,737971.5812
605088.SH,20260127,2.7225,1.39,24.8074,2.6105,1.7627,1.4837,749680.944,738547.0056
002568.SZ,20260127,2.2015,1.86,30.8603,4.5114,7.3076,1.4533,2142184.6979,1476595.1558
001300.SZ,20260127,1.2757,0.61,,4.0846,8.4145,0.0573,423194.9867,423194.9867
300462.SZ,20260127,3.9743,1.33,59.016,1.5744,3.0978,,225077.647,171438.2802
603536.SH,20260127,3.1981,1.23,,6.6062,1.578,,266134.0964,264104.4215
600235.SH,20260127,1.9702,1.11,82.3014,1.6134,2.0617,0.2446,244153.5,244153.5
300820.SZ,20260127,3.8502,0.52,57.471,4.8222,7.6364,0.7205,1222541.034,614739.103
003000.SZ,20260127,2.2923,1.41,20.7331,3.8846,2.1124,3.4466,517175.6004,344439.7506
920402.BJ,20260127,2.3415,0.93,,2.8838,9.2286,0.1828,461733.7133,298523.365
001236.SZ,20260127,1.7749,1.07,656.8532,5.4521,7.5394,0.099,1017855.5558,765658.5558
